* SnowSQL * v1.2.31
Type SQL statements or !help
"F_NAME","AVG_EX_TIME_MS_OLD","AVG_EX_TIME_MS_NEW"
" H3_KRING_DISTANCES(","3472.000000","3720.750000"
" H3_DISTANCE(","573.250000","359.000000"
" H3_INT_TO_STRING(","598.750000","485.000000"
" H3_STRING_TO_INT(","580.000000","500.250000"
" H3_TOPARENT(","830.250000","638.750000"
" H3_KRING(","26915.500000","12776.500000"
" H3_FROMLONGLAT(ST_X(GEOM), ST_Y(","666.500000","485.750000"
" H3_FROMGEOGPOINT(","789.500000","535.250000"
" H3_RESOLUTION(","418.250000","395.250000"
" H3_CENTER(","3953.000000","5075.000000"
" H3_BOUNDARY(","14407.750000","12892.750000"
"(","100.000000",""
" H3_TOCHILDREN(","776.000000","815.250000"
13 Row(s) produced. Time Elapsed: 0.373s
Goodbye!
